"ResourceGroupName","ApplicationNameTag","Subscription"
"rg_sandsub_s_pbi_westus2","Power BI","Sandbox"
"cloud-shell-storage-southcentralus",,"Sandbox"
"Built-In-Identity-RG",,"Sandbox"
"rg_sandsub_s_edi_westus2","Electronic Data Interchange","Sandbox"
"rg_sandsub_s_aut_westus2","Application Testing","Sandbox"
"rg_sandsub_s_pad_westus2","Power Automate Desktop","Sandbox"
"rg_sandsub_s_cos_westus2",,"Sandbox"
"rg_sandsub_s_mon_westus2",,"Sandbox"
"rg_sandsub_s_test_westus2","Power BI","Sandbox"
"rg_testing",,"Sandbox"
"js-e2e-browser-file-upload-storage-blob",,"Sandbox"
"rg_sandbox_fsl_westus2",,"Sandbox"
"rg_sandsub_s_amd_eastus",,"Sandbox"
"rg_sandsub_s_vdp_westus2","Vendprime","Sandbox"
"rg_sandsub_s_apd_westus2","App-Dyamic agent","Sandbox"
"rg_sandsub_s_arr_westus2","Azure Retail Recommender","Sandbox"
"databricks-rg-rg_sandsub_s_arr_westus2","Azure Retail Recommender","Sandbox"
"rg_sandsub_s_oai_westus2","OpenAI service","Sandbox"
"rg_network_eastus","Firewall","Network"
"NetworkWatcherRG","CONA Azure Infrastructure","Network"
"rg_PrivateDns","Firewall","Network"
"DefaultResourceGroup-EUS","CONA Azure Infrastructure","Network"
"rg_netsub_p_fwl_eastus_01","Firewall","Network"
"rg_network_erc_eastus",,"Network"
"rg_network_westus2","Firewall","Network"
"rg_netwsub_p_fgt_westus2","Firewall","Network"
"AzureBackupRG_westus2_1","","Network"
"rg_netwsub_p_inf_westus2","CONA Azure Infrastructure","Network"
"rg_network_erc_westus2",,"Network"
"rg_netwsub_p_inf_eastus","CONA Azure Infrastructure","Network"
"Built-In-Identity-RG",,"Network"
"rg_perftest_westus2",,"PerfTest"
"NetworkWatcherRG","CONA Azure Infrastructure","PerfTest"
"AzureBackupRG_westus2_1","","PerfTest"
"rg_perfsub_inf_westus2","CONA Azure Infrastructure","PerfTest"
"Built-In-Identity-RG",,"PerfTest"
"DefaultResourceGroup-EUS",,"PerfTest"
"rg_dgnonpsub_d_ato_westus2",,"Digital_Non-Prod"
"rg_dgnonpsub_q_ato_westus2",,"Digital_Non-Prod"
"rg_dgnonpsub_q_mc3_westus2","My Coke 360","Digital_Non-Prod"
"rg_dgnonpsub_d_mc3_westus2","My Coke 360","Digital_Non-Prod"
