"Resource_ID","name","CREATED_date","Days","RESOURCE_GROUP_NAME","subscription_NAME"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mfc_westus2/providers/Microsoft.Network/privateEndpoints/pri_stgsmfcwestus2001_blob","pri_stgsmfcwestus2001_blob","07-12-2021 23:19:29","538","Microsoft.Network/privateEndpoints","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mfc_westus2/providers/Microsoft.Portal/dashboards/f2fe545b-8f39-430c-970f-b3bb2564c37a-dashboard","f2fe545b-8f39-430c-970f-b3bb2564c37a-dashboard","05-01-2022 02:56:01","510","Microsoft.Portal/dashboards","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mfc_westus2/providers/Microsoft.Storage/storageAccounts/funcsmfcoctanewebhookswe","funcsmfcoctanewebhookswe","28-12-2021 22:12:31","517","Microsoft.Storage/storageAccounts","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mfc_westus2/providers/Microsoft.Storage/storageAccounts/stgsmfcwestus2001","stgsmfcwestus2001","07-12-2021 23:19:02","538","Microsoft.Storage/storageAccounts","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mfc_westus2/providers/Microsoft.Web/serverFarms/ASP-rgsandsubsmfcwestus2-9990","ASP-rgsandsubsmfcwestus2-9990","10-12-2021 01:38:07","536","Microsoft.Web/serverFarms","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mfc_westus2/providers/Microsoft.Web/sites/func-s-mfc-octane-webhooks","func-s-mfc-octane-webhooks","10-12-2021 01:38:11","536","Microsoft.Web/sites","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mfc_westus2/providers/Microsoft.Web/sites/func-s-mfc-octane-webhooks-west-us2","func-s-mfc-octane-webhooks-west-us2","28-12-2021 22:13:10","517","Microsoft.Web/sites","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mfc_westus2/providers/Microsoft.Web/sites/func-s-mfc-octane-webhooks-west-us2-b","func-s-mfc-octane-webhooks-west-us2-b","05-01-2022 02:46:45","510","Microsoft.Web/sites","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/microsoft.alertsmanagement/smartDetectorAlertRules/Failure Anomalies - appi_sandsub_s_mon_westus2_001","Failure Anomalies - appi_sandsub_s_mon_westus2_001","13-01-2023 20:08:07","136","microsoft.alertsmanagement/smartDetectorAlertRules","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/microsoft.insights/actiongroups/snow connection","snow connection","13-01-2023 20:12:02","136","microsoft.insights/actiongroups","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/microsoft.insights/actiongroups/snow_servicehelth_test","snow_servicehelth_test","29-03-2023 18:59:32","62","microsoft.insights/actiongroups","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/microsoft.insights/components/appi_sandsub_s_mon_westus2_001","appi_sandsub_s_mon_westus2_001","13-01-2023 19:57:49","136","microsoft.insights/components","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Insights/dataCollectionEndpoints/ep-dcr-alert-trigger","ep-dcr-alert-trigger","29-05-2023 20:28:30","0","Microsoft.Insights/dataCollectionEndpoints","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/microsoft.insights/metricalerts/availability-fd-nonpsub-q-pac-01-test-appi_sandsub_s_mon_westus2_001","availability-fd-nonpsub-q-pac-01-test-appi_sandsub_s_mon_westus2_001","13-01-2023 20:07:18","136","microsoft.insights/metricalerts","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/microsoft.insights/scheduledqueryrules/test-Disk Space alert","test-Disk Space alert","20-01-2023 17:53:57","130","microsoft.insights/scheduledqueryrules","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/microsoft.insights/webtests/availability-fd-nonpsub-q-pac-01-test-appi_sandsub_s_mon_westus2_001","availability-fd-nonpsub-q-pac-01-test-appi_sandsub_s_mon_westus2_001","13-01-2023 20:07:08","136","microsoft.insights/webtests","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Logic/workflows/logic-sandsub-s-checkInMM","logic-sandsub-s-checkInMM","13-03-2023 16:51:05","78","Microsoft.Logic/workflows","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Logic/workflows/logic-sandsub-s-mon-importCSV","logic-sandsub-s-mon-importCSV","26-02-2023 12:37:49","93","Microsoft.Logic/workflows","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Logic/workflows/logic-sandsub-s-mon-monitor","logic-sandsub-s-mon-monitor","13-01-2023 20:20:03","136","Microsoft.Logic/workflows","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Logic/workflows/logic-sandsub-s-mon-monitor-001","logic-sandsub-s-mon-monitor-001","23-02-2023 15:52:48","96","Microsoft.Logic/workflows","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Logic/workflows/logic-sandsub-s-mon-monitor-test","logic-sandsub-s-mon-monitor-test","02-02-2023 14:44:31","117","Microsoft.Logic/workflows","sandbox"
"/subscriptions/a96e49c9-c03d-4ead-adc8-069ffcbc3b29/resourceGroups/rg_sandsub_s_mon_westus2/providers/Microsoft.Logic/workflows/logic-sandsub-s-mon-monitor-Uday","logic-sandsub-s-mon-monitor-Uday","20-01-2023 19:49:17","129","Microsoft.Logic/workflows","sandbox"
