"vNet Name","vNet Location","vNet Address","vNet Resource Group Name","vNet Subnet"
"vnet_nonpsub_pac_eastus_01","eastus","172.28.130.0/23","rg_nonpsub_dr_m_pac_eastus","snet_nonpsub_pac_pvtendpoint_eastus_01,snet_nonpsub_pac_appservice_eastus_01,snet_nonpsub_pac_apim_eastus_01,snet_nonpsub_pac_appservice_eastus_02"
"aks-vnet-55820443","westus2","10.0.0.0/8","MC_rg_nonpsub_l_luc_westus2_aks_nonpsub_l_luc_westus2_westus2","aks-subnet"
"aks-vnet-23391176","westus2","10.0.0.0/8","MC_rg_nonpsub_m_luc_westus2_aks_nonpsub_m_luc_westus2_westus2","aks-subnet"
"vNet_NonProd_Mnt_westus2","westus2","173.249.86.0/23","rg_NonProd_westus2","snet_nonprod_pvtendpoint_westus2_001,snet_NonProd_apmbrn101_priv,snet_NonProd_Mnt_west2,snet_NonProd_apmbrn101_public"
"vnet_nonpsub_westus2_01","westus2","10.242.0.0/21","rg_NonProd_westus2","GatewaySubnet,snet_nonpsub_web_westus2_01,snet_nonpsub_appgateway_westus2_01,snet_nonpsub_appgateway_westus2_02,snet_nonpsub_appservice_westus2_01,snet_nonpsub_appservice_westus2_02,snet_nonpsub_netapp_westus2_01,snet_nonpsub_appservice_westus2_03,snet_nonpsub_db_westus2_01,snet_dbw_m_bin_001_Pri,snet_dbw_m_bin_001_Pub,snet_dbw_l_bin_001_Pri,snet_dbw_l_bin_001_Pub,snet_dbw_l_ame_001_pri,snet_dbw_l_ame_001_pub,snet_nonpsub_appservice_westus2_04,snet_nonpsub_pvtendpoint_westus2_01,snet_nonpsub_app_westus2_01,snet_dbw_m_ame_001_pri,snet_dbw_m_ame_001_pub,snet_dbw_m_cin_001_pub,snet_dbw_m_cin_001_pri"
"vnet_nonpsub_l_luc_westus2_01","westus2","173.249.88.128/26","rg_nonpsub_l_luc_westus2","snet_nonpsub_pvtendpoint_westus2_01,snet_nonpsub_aks_westus2_01,snet_nonpsub_appgateway_westus2_01"
"vnet_nonpsub_l_osr_westus2_01","westus2","172.28.64.0/21","rg_nonpsub_l_osr_westus2","snet_nonpsub_l_osr_private,snet_nonpsub_l_osr_public"
"vnet_nonpsub_l_osr_westus2_02","westus2","172.28.44.0/24","rg_nonpsub_l_osr_westus2","snet_nonpsub_osr_appservice_westus2_01,snet_nonpsub_osr_pvtendpoint_westus2_01"
"vnet_nonpsub_pac_westus2_02","westus2","172.28.38.0/23","rg_nonpsub_l_pac_westus2","snet_nonpsub_pac_appservice_westus2_02,snet_nonpsub_pac_appservice_westus2_01,snet_nonpsub_pac_appgateway_westus2_01,snet_nonpsub_pac_apim_westus2_02,snet_nonpsub_pac_pvtendpoint_westus2_01,snet_nonpsub_pac_apim_westus2_01"
"vnet_nonpsub_pad_westus2_01","westus2","173.249.94.0/24","rg_nonpsub_l_pad_westus2","snet_nonpsub_pad_westus2_01"
"vnet_nonpsub_m_luc_westus2_01","westus2","173.249.88.192/26","rg_nonpsub_m_luc_westus2","snet_nonpsub_pvtendpoint_westus2_01,snet_nonpsub_aks_westus2_01,snet_nonpsub_appgateway_westus2_01"
"vnet_nonpsub_pac_westus2_01","westus2","172.28.36.0/23","rg_nonpsub_m_pac_westus2","snet_nonpsub_pac_pvtendpoint_westus2_01,snet_nonpsub_pac_apim_westus2_01,snet_nonpsub_pac_appservice_westus2_02,snet_nonpsub_pac_appservice_westus2_01"
"vnet_nonpsub_pac_westus2_03","westus2","172.28.42.0/23","rg_nonpsub_q_pac_westus2","snet_nonpsub_pac_appservice_westus2_02,snet_nonpsub_pac_appservice_westus2_01,snet_nonpsub_pac_apim_westus2_01,snet_nonpsub_pac_pvtendpoint_westus2_01"
"vnet_drprodsub_westus2_001","westus2","173.249.96.0/23","rg_drprodsub_dr_inf_westus2","snet_drprodsub_app_westus2_01,snet_drprodsub_rds_westus2_01,snet_drprodsub_actualdr_vm_westus2_01,snet_drprodsub_drdrill_vm_westus2_01,AzureBastionSubnet"
